tokenized_sents,duplicate
It never once occurred to me that the fumbling might be a mere mistake,It never once occurred to me that the fumbling might be a mere mistake
Finding nothing else not even gold the Superintendent abandoned his attempts but a perplexed look occasionally steals over his countenance as he sits thinking at his desk,Finding nothing else not even gold the Superintendent abandoned his attempts but a perplexed look occasionally steals over his countenance as he sits thinking at his desk
Herbert West needed fresh bodies because his life work was the reanimation of the dead,Herbert West needed fresh bodies because his life work was the reanimation of the dead
The farm like grounds extended back very deeply up the hill almost to Wheaton Street,The farm like grounds extended back very deeply up the hill almost to Wheaton Street
His facial aspect too was remarkable for its maturity for though he shared his mothers and grandfathers chinlessness his firm and precociously shaped nose united with the expression of his large dark almost Latin eyes to give him an air of quasi adulthood and well nigh preternatural intelligence,His facial aspect too was remarkable for its maturity for though he shared his mothers and grandfathers chinlessness his firm and precociously shaped nose united with the expression of his large dark almost Latin eyes to give him an air of quasi adulthood and well nigh preternatural intelligence
It was not that the sounds were hideous for they were not but that they held vibrations suggesting nothing on this globe of earth and that at certain intervals they assumed a symphonic quality which I could hardly conceive as produced by one player,It was not that the sounds were hideous for they were not but that they held vibrations suggesting nothing on this globe of earth and that at certain intervals they assumed a symphonic quality which I could hardly conceive as produced by one player
Our compasses depth gauges and other delicate instruments were ruined so that henceforth our only reckoning would be guesswork based on our watches the calendar and our apparent drift as judged by any objects we might spy through the portholes or from the conning tower,Our compasses depth gauges and other delicate instruments were ruined so that henceforth our only reckoning would be guesswork based on our watches the calendar and our apparent drift as judged by any objects we might spy through the portholes or from the conning tower
This the young warriors took back with them to Sarnath as a symbol of conquest over the old gods and beings of Ib and a sign of leadership in Mnar,This the young warriors took back with them to Sarnath as a symbol of conquest over the old gods and beings of Ib and a sign of leadership in Mnar
Even now They talked in Their tombs,Even now They talked in Their tombs
Sheehan especially did they ply with inquiries yet without eliciting any information of value concerning Old Bugs,Sheehan especially did they ply with inquiries yet without eliciting any information of value concerning Old Bugs
He cried aloud once and a little later gave a gasp that was more terrible than a cry,He cried aloud once and a little later gave a gasp that was more terrible than a cry
The old tracks crossed River Street at grade and at once veered off into a region increasingly rural and with less and less of Innsmouths abhorrent fishy odour,The old tracks crossed River Street at grade and at once veered off into a region increasingly rural and with less and less of Innsmouths abhorrent fishy odour
After the first start he replaced the tissue wrapping around the portrait as if to shield it from the sordidness of the place,After the first start he replaced the tissue wrapping around the portrait as if to shield it from the sordidness of the place
Wilburs growth was indeed phenomenal for within three months of his birth he had attained a size and muscular power not usually found in infants under a full year of age,Wilburs growth was indeed phenomenal for within three months of his birth he had attained a size and muscular power not usually found in infants under a full year of age
Pausing I succeeded with difficulty in raising it whereupon there was revealed a black aperture exhaling noxious fumes which caused my torch to sputter and disclosing in the unsteady glare the top of a flight of stone steps,Pausing I succeeded with difficulty in raising it whereupon there was revealed a black aperture exhaling noxious fumes which caused my torch to sputter and disclosing in the unsteady glare the top of a flight of stone steps
It was all mud an water an the sky was dark an the rain was wipin aout all tracks abaout as fast as could be but beginnin at the glen maouth whar the trees had moved they was still some o them awful prints big as barls like he seen Monday,It was all mud an water an the sky was dark an the rain was wipin aout all tracks abaout as fast as could be but beginnin at the glen maouth whar the trees had moved they was still some o them awful prints big as barls like he seen Monday
And the childrens children and the newcomers children grew up,And the childrens children and the newcomers children grew up
Dr Johnson as I beheld him was a full pursy Man very ill drest and of slovenly Aspect,Dr Johnson as I beheld him was a full pursy Man very ill drest and of slovenly Aspect
I have indistinct recollections of a great storm some time after I reached the boat at any rate I know that I heard peals of thunder and other tones which Nature utters only in her wildest moods,I have indistinct recollections of a great storm some time after I reached the boat at any rate I know that I heard peals of thunder and other tones which Nature utters only in her wildest moods
There had seemed to be no one in the courtyard below and I hoped there would be a chance to get away before the spreading of a general alarm,There had seemed to be no one in the courtyard below and I hoped there would be a chance to get away before the spreading of a general alarm
Nothing however occurred except some hill noises and when the day came there were many who hoped that the new horror had gone as swiftly as it had come,Nothing however occurred except some hill noises and when the day came there were many who hoped that the new horror had gone as swiftly as it had come
It was getting dark and the ancient roofs and chimney pots outside looked very queer through the bulls eye window panes,It was getting dark and the ancient roofs and chimney pots outside looked very queer through the bulls eye window panes
Again he seemed to be in the interior of a house an old house apparently but the details and inhabitants were constantly changing and he could never be certain of the faces or the furniture or even of the room itself since doors and windows seemed in just as great a state of flux as the more presumably mobile objects,Again he seemed to be in the interior of a house an old house apparently but the details and inhabitants were constantly changing and he could never be certain of the faces or the furniture or even of the room itself since doors and windows seemed in just as great a state of flux as the more presumably mobile objects
And what about the window panes They were all gone,And what about the window panes They were all gone
In a week or two it had visibly faded and in the course of a few months it was hardly discernible with the naked eye,In a week or two it had visibly faded and in the course of a few months it was hardly discernible with the naked eye
Within twenty four hours that machine near the table will generate waves acting on unrecognised sense organs that exist in us as atrophied or rudimentary vestiges,Within twenty four hours that machine near the table will generate waves acting on unrecognised sense organs that exist in us as atrophied or rudimentary vestiges
Everybody got aout o the idee o dyin excep in canoe wars with the other islanders or as sacrifices to the sea gods daown below or from snake bite or plague or sharp gallopin ailments or somethin afore they cud take to the water but simply looked forrad to a kind o change that want a bit horrible arter a while,Everybody got aout o the idee o dyin excep in canoe wars with the other islanders or as sacrifices to the sea gods daown below or from snake bite or plague or sharp gallopin ailments or somethin afore they cud take to the water but simply looked forrad to a kind o change that want a bit horrible arter a while
Ahead lay sparse grass and scrub blueberry bushes and beyond them the naked rock of the crag and the thin peak of the dreaded grey cottage,Ahead lay sparse grass and scrub blueberry bushes and beyond them the naked rock of the crag and the thin peak of the dreaded grey cottage
Everyone seemed inclined to be silent now as though holding a secret fear,Everyone seemed inclined to be silent now as though holding a secret fear
I vaow afur Gawd I dunt know what he wants nor what he is a tryin to dew,I vaow afur Gawd I dunt know what he wants nor what he is a tryin to dew
I shivered as I wondered why I did not reach the light and would have looked down had I dared,I shivered as I wondered why I did not reach the light and would have looked down had I dared
The slow ravages of disease are not pleasant to watch but in my case there was something subtler and more puzzling in the background,The slow ravages of disease are not pleasant to watch but in my case there was something subtler and more puzzling in the background
As the Comte and his associates turned away from the lowly abode of the alchemists the form of Charles Le Sorcier appeared through the trees,As the Comte and his associates turned away from the lowly abode of the alchemists the form of Charles Le Sorcier appeared through the trees
As I have said it happened when we were in the medical school where West had already made himself notorious through his wild theories on the nature of death and the possibility of overcoming it artificially,As I have said it happened when we were in the medical school where West had already made himself notorious through his wild theories on the nature of death and the possibility of overcoming it artificially
A definite point among the stars had a claim on him and was calling him,A definite point among the stars had a claim on him and was calling him
God knows what that world can have been or where he ever glimpsed the blasphemous shapes that loped and trotted and crawled through it but whatever the baffling source of his images one thing was plain,God knows what that world can have been or where he ever glimpsed the blasphemous shapes that loped and trotted and crawled through it but whatever the baffling source of his images one thing was plain
It was in these slums along Main Street that I would find the old Georgian churches but they were all long abandoned,It was in these slums along Main Street that I would find the old Georgian churches but they were all long abandoned
Only his eyes stayed whole and they glared with a propulsive dilated incandescence which grew as the face around them charred and dwindled,Only his eyes stayed whole and they glared with a propulsive dilated incandescence which grew as the face around them charred and dwindled
Baffled the excavators sought a conference with the Superintendent who ordered great lengths of rope to be taken to the pit and spliced and lowered without cessation till a bottom might be discovered,Baffled the excavators sought a conference with the Superintendent who ordered great lengths of rope to be taken to the pit and spliced and lowered without cessation till a bottom might be discovered
Then the lean Nith remarked that no one had seen the old man or his wife since the night the cats were away,Then the lean Nith remarked that no one had seen the old man or his wife since the night the cats were away
And as I looked I beheld the head rise the black liquid and deep sunken eyes open in terror and the thin shadowed lips part as if for a scream too frightful to be uttered,And as I looked I beheld the head rise the black liquid and deep sunken eyes open in terror and the thin shadowed lips part as if for a scream too frightful to be uttered
With the traditionally receptive ears of the small boy I learned much though an habitual secretiveness caused me to tell no one of my information or my resolve,With the traditionally receptive ears of the small boy I learned much though an habitual secretiveness caused me to tell no one of my information or my resolve
He did not himself understand these words or know why certain things made him feel certain emotions but fancied that some unremembered dream must be responsible,He did not himself understand these words or know why certain things made him feel certain emotions but fancied that some unremembered dream must be responsible
His engagement broken Galpin moved east to begin life anew but before long Appletonians heard of his dismissal in disgrace from New York University where he had obtained an instructorship in English,His engagement broken Galpin moved east to begin life anew but before long Appletonians heard of his dismissal in disgrace from New York University where he had obtained an instructorship in English
He had a narrow head bulging watery blue eyes that seemed never to wink a flat nose a receding forehead and chin and singularly undeveloped ears,He had a narrow head bulging watery blue eyes that seemed never to wink a flat nose a receding forehead and chin and singularly undeveloped ears
Only a very rare affliction of course could bring about such vast and radical anatomical changes in a single individual after maturity changes involving osseous factors as basic as the shape of the skull but then even this aspect was no more baffling and unheard of than the visible features of the malady as a whole,Only a very rare affliction of course could bring about such vast and radical anatomical changes in a single individual after maturity changes involving osseous factors as basic as the shape of the skull but then even this aspect was no more baffling and unheard of than the visible features of the malady as a whole
As I fled from that accursed castle along the bogs edge I heard a new sound common yet unlike any I had heard before at Kilderry,As I fled from that accursed castle along the bogs edge I heard a new sound common yet unlike any I had heard before at Kilderry
He did not try to navigate after the first bold flight for the reaction had taken something out of his soul,He did not try to navigate after the first bold flight for the reaction had taken something out of his soul
After each short and inevitable sleep I seemed older whilst my friend aged with a rapidity almost shocking,After each short and inevitable sleep I seemed older whilst my friend aged with a rapidity almost shocking
In order to reach it he said he would soar through abysses of emptiness burning every obstacle that stood in his way,In order to reach it he said he would soar through abysses of emptiness burning every obstacle that stood in his way
The police heard a shot in the old Tillinghast house and found us there Tillinghast dead and me unconscious,The police heard a shot in the old Tillinghast house and found us there Tillinghast dead and me unconscious
I had not entered the army on my own initiative but rather as a natural result of the enlistment of the man whose indispensable assistant I was the celebrated Boston surgical specialist Dr Herbert West,I had not entered the army on my own initiative but rather as a natural result of the enlistment of the man whose indispensable assistant I was the celebrated Boston surgical specialist Dr Herbert West
It was my last link with a chapter of life forever closed and I valued it highly,It was my last link with a chapter of life forever closed and I valued it highly
To me there was nothing grotesque in the bones and skeletons that strowed some of the stone crypts deep down among the foundations,To me there was nothing grotesque in the bones and skeletons that strowed some of the stone crypts deep down among the foundations
The Thing cannot be described there is no language for such abysms of shrieking and immemorial lunacy such eldritch contradictions of all matter force and cosmic order,The Thing cannot be described there is no language for such abysms of shrieking and immemorial lunacy such eldritch contradictions of all matter force and cosmic order
It was queer damnably queer and my uncle spoke almost sheepishly as if half expecting not to be believed when he declared that of the strange faces many had unmistakably borne the features of the Harris family,It was queer damnably queer and my uncle spoke almost sheepishly as if half expecting not to be believed when he declared that of the strange faces many had unmistakably borne the features of the Harris family
